Customer_Id,Churn,Gender,Senior_Citizen,Partner,Dependents,Tenure,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_Tv,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Charges_Monthly,Charges_Total,Total_Days,Charges_Daily,Faixa_Valor_Total,Faixa_Charges_Daily,Grupo_Idade,Tenure_Faixa,Grupo,Churn_Label
0071-NDAFP,0.0,Male,0,1,1,25,1,1,No,3,3,3,3,3,3,Two year,0,Credit card (automatic),25.5,630.6,750,0.8408,500-750,0-1,Não Idoso,24-35,Não Idoso,Não Churn
0074-HDKDG,0.0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,750,2.148,1500-2000,2-3,Não Idoso,24-35,Não Idoso,Não Churn
0076-LVEPS,0.0,Male,0,0,1,29,0,3,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,870,1.428103448275862,1000-1500,1-2,Não Idoso,24-35,Não Idoso,Não Churn
0078-XZMHT,0.0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2160,2.924166666666667,2000+,2-3,Não Idoso,,Não Idoso,Não Churn
0080-EMYVY,0.0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,420,1.7329761904761904,500-750,1-2,Não Idoso,12-23,Não Idoso,Não Churn
0080-OROZO,0.0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,1050,3.363809523809524,2000+,3-4,Não Idoso,24-35,Não Idoso,Não Churn
0082-LDZUE,0.0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,30,1.4766666666666666,0-250,1-2,Não Idoso,0-11,Não Idoso,Não Churn
0082-OQIQY,0.0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,870,2.9972413793103447,2000+,2-3,Não Idoso,24-35,Não Idoso,Não Churn
0083-PIVIK,0.0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,1920,2.899765625,2000+,2-3,Não Idoso,60-71,Não Idoso,Não Churn
0089-IIQKO,0.0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,1170,3.22,2000+,3-4,Não Idoso,36-47,Não Idoso,Não Churn
0093-EXYQL,0.0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,1200,3.0613333333333332,2000+,3-4,Idoso,36-47,Idoso,Não Churn
0093-XWZFY,1.0,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,1200,3.3640416666666666,2000+,3-4,Não Idoso,36-47,Não Idoso,Churn
0094-OIFMO,1.0,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,330,3.3948484848484846,1000-1500,3-4,Idoso,0-11,Idoso,Churn
0096-BXERS,0.0,Female,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,180,1.7475,250-500,1-2,Não Idoso,0-11,Não Idoso,Não Churn
0096-FCPUF,0.0,Male,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,900,2.0982777777777777,1500-2000,2-3,Não Idoso,24-35,Não Idoso,Não Churn
0098-BOWSO,0.0,Male,0,0,0,27,1,0,No,3,3,3,3,3,3,Month-to-month,1,Electronic check,19.4,529.8,810,0.654074074074074,500-750,0-1,Não Idoso,24-35,Não Idoso,Não Churn
0100-DUVFC,0.0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,2100,3.480452380952381,2000+,3-4,Idoso,60-71,Idoso,Não Churn
0103-CSITQ,0.0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,1710,3.656549707602339,2000+,3-4,Não Idoso,48-59,Não Idoso,Não Churn
0104-PPXDV,0.0,Male,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1740,1.6543390804597702,2000+,1-2,Não Idoso,48-59,Não Idoso,Não Churn
0106-GHRQR,0.0,Male,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,480,2.525208333333333,1000-1500,2-3,Não Idoso,12-23,Não Idoso,Não Churn
0106-UGRDO,0.0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,2070,3.953067632850242,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0107-WESLM,1.0,Male,0,0,0,1,1,0,No,3,3,3,3,3,3,Month-to-month,1,Electronic check,19.85,19.85,30,0.6616666666666667,0-250,0-1,Não Idoso,0-11,Não Idoso,Churn
0107-YHINA,1.0,Male,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,30,3.325,0-250,3-4,Não Idoso,0-11,Não Idoso,Churn
0111-KLBQG,0.0,Male,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,960,2.980677083333333,2000+,2-3,Idoso,24-35,Idoso,Não Churn
0112-QAWRZ,0.0,Male,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,480,3.0045833333333336,1000-1500,3-4,Não Idoso,12-23,Não Idoso,Não Churn
0112-QWPNC,1.0,Male,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,1470,2.7614625850340135,2000+,2-3,Não Idoso,48-59,Não Idoso,Churn
0114-IGABW,0.0,Female,0,1,0,71,0,3,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,2130,1.946431924882629,2000+,1-2,Não Idoso,60-71,Não Idoso,Não Churn
0114-PEGZZ,0.0,Female,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,990,3.6823232323232324,2000+,3-4,Não Idoso,24-35,Não Idoso,Não Churn
0114-RSRRW,0.0,Female,0,1,0,10,1,0,No,3,3,3,3,3,3,Month-to-month,1,Bank transfer (automatic),19.95,187.75,300,0.6258333333333334,0-250,0-1,Não Idoso,0-11,Não Idoso,Não Churn
0115-TFERT,1.0,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,630,3.677936507936508,2000+,3-4,Não Idoso,12-23,Não Idoso,Churn
0117-LFRMW,1.0,Male,0,1,1,37,0,3,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1110,1.3052252252252252,1000-1500,1-2,Não Idoso,36-47,Não Idoso,Churn
0118-JPNOY,0.0,Female,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,780,2.812371794871795,2000+,2-3,Idoso,24-35,Idoso,Não Churn
0121-SNYRK,0.0,Male,0,0,0,50,0,3,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,1500,1.1659333333333335,1500-2000,1-2,Não Idoso,48-59,Não Idoso,Não Churn
0122-OAHPZ,1.0,Female,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,210,2.4345238095238093,500-750,2-3,Não Idoso,0-11,Não Idoso,Churn
0123-CRBRT,0.0,Female,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,1830,3.0200819672131147,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0125-LZQXK,1.0,Male,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,450,3.453222222222222,1500-2000,3-4,Não Idoso,12-23,Não Idoso,Churn
0128-MKWSG,0.0,Female,0,0,1,26,0,3,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,780,1.4705128205128206,1000-1500,1-2,Não Idoso,24-35,Não Idoso,Não Churn
0129-KPTWJ,0.0,Male,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,2160,3.1237731481481483,2000+,3-4,Não Idoso,,Não Idoso,Não Churn
0129-QMPDR,0.0,Male,0,1,1,44,1,0,No,3,3,3,3,3,3,One year,1,Bank transfer (automatic),20.5,865.05,1320,0.655340909090909,750-1000,0-1,Não Idoso,36-47,Não Idoso,Não Churn
0130-SXOUN,0.0,Male,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,1980,3.0186363636363636,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0133-BMFZO,1.0,Female,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,60,3.0275000000000003,0-250,3-4,Não Idoso,0-11,Não Idoso,Churn
0134-XWXCE,0.0,Female,1,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,1320,2.475795454545455,2000+,2-3,Idoso,36-47,Idoso,Não Churn
0135-NMXAP,1.0,Female,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,360,2.923333333333334,1000-1500,2-3,Não Idoso,12-23,Não Idoso,Churn
0136-IFMYD,0.0,Male,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,2070,3.6880434782608695,2000+,3-4,Idoso,60-71,Idoso,Não Churn
0137-OCGAB,1.0,Female,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,30,2.6733333333333333,0-250,2-3,Não Idoso,0-11,Não Idoso,Churn
0137-UDEUO,1.0,Female,0,0,0,3,1,0,No,3,3,3,3,3,3,Month-to-month,0,Mailed check,19.85,63.75,90,0.7083333333333334,0-250,0-1,Não Idoso,0-11,Não Idoso,Churn
0139-IVFJG,0.0,Female,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,60,3.175,0-250,3-4,Não Idoso,0-11,Não Idoso,Não Churn
0141-YEAYS,0.0,Female,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,810,2.9642592592592596,2000+,2-3,Idoso,24-35,Idoso,Não Churn
0142-GVYSN,0.0,Male,0,0,0,26,1,0,No,3,3,3,3,3,3,Month-to-month,1,Electronic check,20.3,511.25,780,0.655448717948718,500-750,0-1,Não Idoso,24-35,Não Idoso,Não Churn
0147-ESWWR,0.0,Female,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,1170,3.3753418803418804,2000+,3-4,Idoso,36-47,Idoso,Não Churn
0148-DCDOS,1.0,Male,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,750,3.1494666666666666,2000+,3-4,Não Idoso,24-35,Não Idoso,Churn
0151-ONTOV,1.0,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,30,2.3633333333333337,0-250,2-3,Não Idoso,0-11,Não Idoso,Churn
0156-FVPTA,1.0,Male,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,660,1.7465151515151516,1000-1500,1-2,Não Idoso,12-23,Não Idoso,Churn
0164-APGRB,0.0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,2160,3.9336574074074075,2000+,3-4,Não Idoso,,Não Idoso,Não Churn
0164-XAIRP,0.0,Female,0,0,0,24,1,0,No,3,3,3,3,3,3,Two year,1,Bank transfer (automatic),19.55,470.2,720,0.6530555555555555,250-500,0-1,Não Idoso,24-35,Não Idoso,Não Churn
0168-XZKBB,0.0,Female,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,570,2.744561403508772,1500-2000,2-3,Não Idoso,12-23,Não Idoso,Não Churn
0174-QRVVY,0.0,Male,0,1,1,71,1,1,No,3,3,3,3,3,3,Two year,0,Credit card (automatic),25.35,1847.55,2130,0.8673943661971831,1500-2000,0-1,Não Idoso,60-71,Não Idoso,Não Churn
0177-PXBAT,0.0,Male,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,990,3.732020202020202,2000+,3-4,Idoso,24-35,Idoso,Não Churn
0178-CIIKR,0.0,Female,0,0,0,3,1,0,No,3,3,3,3,3,3,Month-to-month,0,Mailed check,19.95,58.0,90,0.6444444444444445,0-250,0-1,Não Idoso,0-11,Não Idoso,Não Churn
0178-SZBHO,0.0,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,1410,2.849255319148936,2000+,2-3,Não Idoso,36-47,Não Idoso,Não Churn
0181-RITDD,0.0,Male,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,1860,3.6697043010752686,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0186-CAERR,0.0,Male,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,2130,3.901197183098591,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0187-QSXOE,0.0,Male,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,210,2.883095238095238,500-750,2-3,Idoso,0-11,Idoso,Não Churn
0187-WZNAB,0.0,Female,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,810,2.435,1500-2000,2-3,Não Idoso,24-35,Não Idoso,Não Churn
0188-GWFLE,0.0,Male,0,0,0,2,1,0,No,3,3,3,3,3,3,Month-to-month,0,Mailed check,20.05,33.7,60,0.5616666666666668,0-250,0-1,Não Idoso,0-11,Não Idoso,Não Churn
0191-EQUUH,0.0,Female,0,0,1,25,0,3,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,750,1.1259333333333335,750-1000,1-2,Não Idoso,24-35,Não Idoso,Não Churn
0191-ZHSKZ,0.0,Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,900,2.345888888888889,2000+,2-3,Idoso,24-35,Idoso,Não Churn
0193-ESZXP,1.0,Female,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,1740,3.5663793103448276,2000+,3-4,Idoso,48-59,Idoso,Churn
0195-IESCP,1.0,Male,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,300,2.851,750-1000,2-3,Não Idoso,0-11,Não Idoso,Churn
0196-JTUQI,0.0,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,270,2.347592592592593,500-750,2-3,Não Idoso,0-11,Não Idoso,Não Churn
0196-VULGZ,1.0,Female,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,180,2.638333333333333,250-500,2-3,Idoso,0-11,Idoso,Churn
0197-PNKNK,0.0,Female,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,2070,2.825410628019324,2000+,2-3,Não Idoso,60-71,Não Idoso,Não Churn
0201-MIBOL,0.0,Female,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,1980,3.2686111111111114,2000+,3-4,Idoso,60-71,Idoso,Não Churn
0201-OAMXR,1.0,Female,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,2100,3.8702857142857146,2000+,3-4,Não Idoso,60-71,Não Idoso,Churn
0203-HHYIJ,1.0,Male,0,0,0,25,1,1,No,3,3,3,3,3,3,One year,0,Bank transfer (automatic),25.3,676.35,750,0.9018,500-750,0-1,Não Idoso,24-35,Não Idoso,Churn
0206-OYVOC,0.0,Female,0,1,1,46,1,0,No,3,3,3,3,3,3,Two year,1,Mailed check,19.25,864.2,1380,0.626231884057971,750-1000,0-1,Não Idoso,36-47,Não Idoso,Não Churn
0206-TBWLC,0.0,Female,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,1620,3.734259259259259,2000+,3-4,Não Idoso,48-59,Não Idoso,Não Churn
0207-MDKNV,1.0,Female,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,450,3.5172222222222222,1500-2000,3-4,Não Idoso,12-23,Não Idoso,Churn
0208-BPQEJ,0.0,Female,0,1,1,12,1,0,No,3,3,3,3,3,3,Month-to-month,0,Bank transfer (automatic),19.4,198.1,360,0.5502777777777778,0-250,0-1,Não Idoso,12-23,Não Idoso,Não Churn
0212-ISBBF,0.0,Female,0,0,0,22,0,3,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,660,1.6649242424242423,1000-1500,1-2,Não Idoso,12-23,Não Idoso,Não Churn
